Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,33195,2010,12,10,2.2,1,Y
IDCJAC0009,33195,2010,12,11,0.0,1,Y
IDCJAC0009,33195,2010,12,12,84.8,1,Y
IDCJAC0009,33195,2010,12,13,23.2,1,Y
IDCJAC0009,33195,2010,12,14,0.0,1,Y
IDCJAC0009,33195,2010,12,15,0.0,1,Y
IDCJAC0009,33195,2010,12,16,0.0,1,Y
IDCJAC0009,33195,2010,12,17,0.0,1,Y
IDCJAC0009,33195,2010,12,18,0.0,1,Y
IDCJAC0009,33195,2010,12,19,55.6,1,Y
IDCJAC0009,33195,2010,12,20,7.2,1,Y
IDCJAC0009,33195,2010,12,21,1.8,1,Y
IDCJAC0009,33195,2010,12,22,3.0,1,Y
IDCJAC0009,33195,2010,12,23,1.8,1,Y
IDCJAC0009,33195,2010,12,24,3.6,1,Y
IDCJAC0009,33195,2010,12,25,0.2,1,Y
IDCJAC0009,33195,2010,12,26,46.8,1,Y
IDCJAC0009,33195,2010,12,27,3.2,1,Y
IDCJAC0009,33195,2010,12,28,129.6,1,Y
IDCJAC0009,33195,2010,12,29,45.8,1,Y
IDCJAC0009,33195,2010,12,30,0.0,1,Y
IDCJAC0009,33195,2010,12,31,0.0,1,Y
